Selected,User ID,Vehicle Model,Time of Day,Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Distance Driven (since last charge) (km),Temperature (°C)
No,User_80,BMW i3,Afternoon,75,59.9865,3.72937,23.4179,15.683,281.764,15.0606
No,User_81,Hyundai Kona,Afternoon,48.0507,51.6737,0.691755,46.5957,18.0118,222.275,2.55424
No,User_82,Tesla Model 3,Night,50,35.9072,2.72556,25.6016,19.2835,93.8579,33.0768
No,User_83,Hyundai Kona,Afternoon,85,41.6078,0.807069,25.963,29.5329,94.6453,17.7374
No,User_84,Hyundai Kona,Night,62,32.833,3.40864,44.4924,39.6748,279.898,5.80339
No,User_85,Tesla Model 3,Morning,50,57.9245,1.26112,12.5382,19.8173,64.1355,1.82545
No,User_86,Tesla Model 3,Afternoon,100,21.6562,1.89443,32.9545,18.0255,170.558,10.4015
No,User_87,Tesla Model 3,Afternoon,62,41.0106,3.36696,45.3201,18.0665,103.788,-4.57225
No,User_88,Tesla Model 3,Afternoon,62,79.8187,2.60648,13.0097,35.9713,274.021,10.6922
No,User_89,BMW i3,Evening,85,33.0729,1.46966,30.3447,15.5508,164.683,-6.51443
No,User_90,Chevy Bolt,Night,75,27.8432,2.54314,17.0046,12.2783,79.355,7.51686
No,User_91,Chevy Bolt,Night,50,28.4408,1.07966,42.4251,13.7798,398.365,27.8131
No,User_92,Tesla Model 3,Evening,62,68.573,2.93039,5.45469,15.8894,191.456,37.8998
No,User_93,Chevy Bolt,Night,85,65.431,0.929487,20.2727,10.3957,71.436,30.1997
No,User_94,Chevy Bolt,Morning,75,71.6157,3.51501,31.2718,21.2636,16.6814,-1.71985
No,User_95,Tesla Model 3,Evening,85,7.9309,2.3424,44.1221,33.8184,55.6775,16.8084
No,User_96,Chevy Bolt,Night,24.5999,42.6429,1.3825,32.4365,38.058,153.597,23.3985
No,User_97,Hyundai Kona,Morning,75,55.7292,3.82901,21.7231,38.0937,74.0522,34.6635
No,User_98,Nissan Leaf,Night,85,31.0466,0.690282,28.0049,6.25455,153.597,15.6274
No,User_99,Nissan Leaf,Evening,62,15.9176,3.34839,17.5516,9.53121,117.792,15.4358
No,User_100,Tesla Model 3,Night,100,50.9035,3.62132,25.963,28.3389,10.4419,30.0449
No,User_101,BMW i3,Morning,77.2989,71.4776,0.652582,25.963,11.3638,197.646,28.9768
No,User_102,Tesla Model 3,Morning,100,74.1537,4.12306,31.2774,26.0002,91.3848,35.7932
No,User_103,BMW i3,Morning,75,46.7755,3.11851,32.0801,18.5884,246.223,27.2669
No,User_104,Nissan Leaf,Night,95.1537,8.46964,1.95618,16.0193,31.2384,297.552,22.1718
No,User_105,Tesla Model 3,Evening,85,61.6974,2.52551,30.784,22.4871,208.648,28.3122
No,User_106,Hyundai Kona,Night,62,41.2642,3.60445,29.0817,29.0163,268.515,19.6365
No,User_107,Chevy Bolt,Afternoon,85,6.50395,1.4878,35.9348,35.2419,204.768,35.9597
No,User_108,BMW i3,Evening,147.395,65.8932,3.14625,24.8321,11.0377,74.9233,13.4196
No,User_109,Chevy Bolt,Afternoon,50,13.2629,3.06902,47.6705,32.9093,220.674,31.8733
No,User_110,Chevy Bolt,Night,85,42.6429,3.29258,49.8787,13.284,137.137,0.0341271
No,User_111,Tesla Model 3,Evening,62,27.426,0.911152,32.165,19.7814,216.07,-4.1532
No,User_112,Chevy Bolt,Afternoon,100,7.35845,2.43079,11.4805,13.7868,166.674,-7.81135
No,User_113,Hyundai Kona,Night,100,36.1373,2.44935,36.3771,7.87092,48.117,32.3073
No,User_114,Chevy Bolt,Evening,85,29.1695,1.8374,28.5046,9.16415,241.998,42.7397
No,User_115,Tesla Model 3,Morning,85,43.4454,1.40589,25.963,34.6751,38.199,19.8695
No,User_116,Hyundai Kona,Morning,100,26.8691,2.46368,12.0518,17.5416,289.568,7.79138
No,User_117,Nissan Leaf,Morning,85,17.9335,2.78221,25.5842,25.4974,104.398,38.3636
No,User_118,Chevy Bolt,Afternoon,50,60.4716,3.18826,25.963,15.8857,84.3756,32.8362
No,User_119,Tesla Model 3,Afternoon,50,17.7047,3.46257,19.7137,19.9151,258.646,-9.34538
No,User_120,Nissan Leaf,Night,63.0963,47.7141,1.17684,25.963,15.3525,214.467,34.2781
No,User_121,Nissan Leaf,Morning,85,71.1853,1.42565,10.2998,5.13866,276.222,-4.80892
No,User_122,BMW i3,Afternoon,75,39.6444,1.92574,13.7983,6.96527,153.597,22.572
No,User_123,Hyundai Kona,Morning,62,24.8487,3.31837,32.2357,19.913,260.707,11.2035
No,User_124,Chevy Bolt,Night,50,7.51594,3.41687,10.6214,34.7608,126.592,9.79124
No,User_125,Tesla Model 3,Evening,75,64.419,3.19001,24.6217,28.9987,230.494,25.3205
No,User_126,BMW i3,Afternoon,85,6.18902,1.29185,19.7154,20.8631,275.742,5.72736
No,User_127,Hyundai Kona,Afternoon,100,37.7879,3.6239,35.9959,29.1176,66.0021,-0.325339
No,User_128,BMW i3,Evening,85,9.15123,2.57873,34.046,27.6661,223.097,-1.09233
No,User_129,Hyundai Kona,Afternoon,93.2738,15.6606,3.14065,7.70219,32.1367,202.142,29.5391
No,User_130,Hyundai Kona,Night,50,35.5537,3.53675,45.8557,23.3679,275.574,26.1334
No,User_131,Chevy Bolt,Afternoon,100,47.5275,3.8049,14.3282,31.0986,139.384,18.9798
No,User_132,Hyundai Kona,Afternoon,100,36.6166,3.35801,27.3211,11.5849,69.2339,24.523
No,User_133,BMW i3,Evening,50,65.4872,2.06628,37.5773,31.145,102.239,17.5227
No,User_134,Hyundai Kona,Night,85,33.8872,3.6256,18.6043,24.4683,267.844,-4.16075
No,User_135,Chevy Bolt,Morning,48.4696,47.29,3.29473,15.409,46.2703,277.493,7.12285
No,User_136,Chevy Bolt,Morning,100,48.4876,0.563938,16.7598,7.60045,103.912,0.534112
No,User_137,BMW i3,Evening,75,15.0102,0.648676,13.7626,13.7261,220.201,19.9856
No,User_138,Nissan Leaf,Night,85,30.0651,1.26743,35.8711,35.0386,122.765,33.0182
No,User_139,Nissan Leaf,Evening,85,74.1065,2.96542,32.2909,25.6632,179.589,14.1232
No,User_140,Hyundai Kona,Evening,62,66.1516,3.06234,50.1706,36.2987,46.8129,32.2927
No,User_141,Tesla Model 3,Morning,100,47.3774,1.29953,48.1603,28.1149,153.597,8.51163
No,User_142,Hyundai Kona,Night,62,45.993,2.84571,30.6035,23.6133,108.661,3.84991
No,User_143,BMW i3,Night,75,48.2879,2.07355,34.388,30.2368,208.755,-8.03631
No,User_144,BMW i3,Evening,50,78.6934,2.85606,36.5626,7.6396,17.2416,12.7379
No,User_145,BMW i3,Morning,93.0949,68.03,1.51697,16.3955,18.9699,148.086,34.7928
No,User_146,BMW i3,Night,85,40.2484,3.63549,33.7323,17.2431,28.4547,38.9681
No,User_147,BMW i3,Evening,100,74.2807,1.06134,41.3418,12.8865,35.4799,4.76186
No,User_148,Chevy Bolt,Afternoon,85,42.6429,3.88433,38.8701,20.262,246.41,7.46495
No,User_149,Nissan Leaf,Morning,50,74.9481,2.01923,43.6202,31.5844,127.911,12.2647
No,User_150,BMW i3,Night,100,52.8841,1.27698,35.526,7.95349,186.814,19.1893
No,User_151,Tesla Model 3,Night,50,34.9699,2.4966,19.6515,16.528,249.06,9.59849
No,User_152,Tesla Model 3,Night,85,55.9176,2.55322,6.63881,25.5719,179.094,15.1693
No,User_153,Tesla Model 3,Morning,62,76.598,3.32084,31.5972,19.3411,290.988,31.2489
No,User_154,Tesla Model 3,Evening,100,20.256,1.3517,3.02349,31.8861,32.008,36.5451
No,User_155,Chevy Bolt,Afternoon,50,56.0688,3.25436,28.1685,7.9643,219.432,7.10944
No,User_156,Tesla Model 3,Night,62,65.0498,3.43682,22.5595,20.7977,188.078,25.3443
No,User_157,BMW i3,Morning,85,42.6429,2.71911,9.95234,11.7545,81.3871,37.8425
No,User_158,Hyundai Kona,Night,50.8706,23.5713,0.841961,49.7837,21.9964,267.347,-3.08962
No,User_159,Tesla Model 3,Evening,62,42.6429,1.99254,21.7402,8.61034,56.9042,38.5866
No,User_160,Chevy Bolt,Afternoon,100,41.0891,5.22036,7.85418,37.3706,35.439,-2.5608
No,User_161,Chevy Bolt,Night,58.0121,48.9985,3.73648,2.56094,15.9295,85.0973,15.5637
No,User_162,Tesla Model 3,Morning,85,10.2776,2.36162,45.6867,7.05368,39.2759,35.0941
No,User_163,Hyundai Kona,Evening,85,45.574,3.26586,11.0898,34.0292,217.59,-9.09047
No,User_164,Tesla Model 3,Afternoon,62,69.1055,3.27519,22.9862,9.35744,101.375,1.49667
No,User_165,Chevy Bolt,Morning,102.949,37.7645,3.39777,32.7332,26.2204,156.417,2.22439
No,User_166,Nissan Leaf,Night,85,14.4957,2.54613,21.2449,30.8745,119.357,-5.5988
No,User_167,BMW i3,Morning,75,54.6409,3.24966,19.7095,18.8439,130.552,12.6295
No,User_168,Chevy Bolt,Afternoon,75,67.8912,3.00729,9.68469,11.3303,32.8927,16.3177
No,User_169,Tesla Model 3,Evening,100,22.7426,1.03056,29.636,8.22905,280.978,-2.91045
No,User_170,BMW i3,Evening,85,56.0178,1.04097,37.8531,14.5771,14.7236,11.4928
No,User_171,Tesla Model 3,Night,85,127.757,0.984549,9.2865,20.3424,103.958,18.4053
No,User_172,Tesla Model 3,Night,100,13.8772,0.521292,9.91342,26.9138,136.279,24.7596
No,User_173,Nissan Leaf,Night,75,42.6429,3.47382,32.5996,37.2067,62.4129,27.9014
No,User_174,BMW i3,Night,100,47.8244,2.04687,6.08278,35.9894,90.1143,7.16687
No,User_175,BMW i3,Afternoon,50,71.1427,1.72514,14.8299,37.0163,150.27,17.4249
No,User_176,Nissan Leaf,Night,85,6.08863,3.28495,4.86831,9.19414,54.816,6.17056
No,User_177,Chevy Bolt,Morning,50,33.0987,2.18217,16.6869,36.524,174.43,-7.86891
No,User_178,Tesla Model 3,Afternoon,95.6978,78.8331,2.92158,8.42464,23.3047,118.695,4.76081
No,User_179,Hyundai Kona,Afternoon,100,63.2365,0.835845,5.2558,39.6954,132.96,30.7908
No,User_180,Tesla Model 3,Night,50,50.1614,3.98442,29.0873,8.85476,42.3761,18.46
No,User_181,Tesla Model 3,Afternoon,50,21.8205,0.856617,97.3423,13.0996,240.795,10.336
No,User_182,Chevy Bolt,Morning,50,61.0003,3.02652,5.72047,20.4164,232.321,27.5448
No,User_183,Tesla Model 3,Afternoon,62,47.3146,0.968977,10.1634,25.9245,260.661,23.728
No,User_184,Nissan Leaf,Afternoon,62,33.7843,1.3501,48.7681,22.9012,59.0916,58.1052
No,User_185,Nissan Leaf,Morning,62,47.841,1.61339,36.2496,11.346,258.703,31.4229
No,User_186,BMW i3,Morning,50,10.6402,3.0806,19.1672,6.49944,81.3073,20.6235
No,User_187,Hyundai Kona,Afternoon,102.839,72.2378,3.49829,14.4359,24.3268,131.286,3.86021
No,User_188,Tesla Model 3,Evening,85,36.1579,3.10183,46.3281,37.2064,87.1243,28.73
No,User_189,Tesla Model 3,Afternoon,50,63.6265,2.04002,9.98677,35.0287,153.597,5.09861
No,User_190,Chevy Bolt,Morning,50,8.34959,2.31268,47.4822,19.7529,311.63,3.04969
No,User_191,Nissan Leaf,Morning,100,65.8315,3.70562,7.25363,7.45384,65.2864,-7.43002
No,User_192,Hyundai Kona,Morning,100,55.1888,1.41451,25.963,23.6834,249.049,30.6993
No,User_193,BMW i3,Evening,85,55.9794,1.10686,13.7993,31.5299,67.8747,11.4426
No,User_194,Nissan Leaf,Morning,62,38.5077,0.976478,15.8099,38.1885,252.973,21.3843
No,User_195,BMW i3,Night,85,13.1058,0.569062,14.5544,28.9347,201.563,1.85666
No,User_196,Chevy Bolt,Night,75,7.81642,3.4572,5.09812,32.2717,50.3088,29.8826
No,User_197,Chevy Bolt,Evening,50,52.5098,2.76432,17.1297,43.1565,152.258,-7.43225
No,User_198,Tesla Model 3,Morning,85,12.128,0.980252,32.0997,31.0719,212.552,-1.20617
No,User_199,Hyundai Kona,Morning,75,28.9884,3.27575,25.963,8.69073,195.956,7.18657
No,User_200,BMW i3,Night,62,13.4852,2.66537,29.8731,27.3223,153.597,-5.68066
No,User_201,Nissan Leaf,Night,62,80.7294,2.87719,36.7821,12.9457,211.634,4.74118
No,User_202,Chevy Bolt,Afternoon,85,53.5867,3.44538,6.92751,7.44137,101.95,7.37765
No,User_203,Tesla Model 3,Evening,62,72.8286,0.599135,47.5262,36.3576,186.724,-8.81766
No,User_204,Tesla Model 3,Afternoon,85,64.2321,2.82245,29.9281,5.93536,268.933,3.9451
No,User_205,BMW i3,Evening,100,17.8549,2.50501,48.3847,38.4961,268.972,19.2649
No,User_206,Chevy Bolt,Morning,62,63.8543,3.8873,37.2288,8.31768,128.352,28.1668
No,User_207,Hyundai Kona,Morning,85,70.9947,0.776358,12.5614,13.1701,189.379,4.75652
No,User_208,Chevy Bolt,Evening,85,62.2481,3.43209,18.5895,15.5847,102.924,20.8087
No,User_209,BMW i3,Afternoon,89.0321,78.6429,0.608975,34.824,31.4498,153.597,21.9585
No,User_210,BMW i3,Night,85,6.96188,2.42278,22.6728,26.2237,86.5648,29.5615
No,User_211,Chevy Bolt,Evening,85,75.1862,3.62318,53.1748,14.7354,150.047,24.9234
No,User_212,BMW i3,Evening,50,1.75452,0.797394,8.43076,22.7244,65.8894,25.9361
No,User_213,Chevy Bolt,Evening,81.6532,73.6143,3.66532,3.85578,14.1248,162.063,33.8608
No,User_214,Nissan Leaf,Morning,62,6.37787,0.903519,33.8425,27.8023,169.112,-2.96053
No,User_215,Chevy Bolt,Evening,62,51.1618,1.28667,15.003,39.8166,35.4563,31.9176
No,User_216,Chevy Bolt,Morning,75,28.2297,1.21869,23.4374,36.3412,91.1206,24.3215
No,User_217,BMW i3,Night,62,67.9228,3.70457,41.7436,32.1763,157.025,14.3335
No,User_218,BMW i3,Night,75,15.2737,2.86511,5.37038,7.6295,113.669,6.86416
No,User_219,Tesla Model 3,Afternoon,85,50.6437,2.22914,29.6337,38.248,195.001,6.43436
No,User_220,Tesla Model 3,Morning,50,52.0547,2.93561,5.23132,24.9961,153.974,4.82014
No,User_221,Nissan Leaf,Night,75,57.898,0.605565,15.3809,28.1358,266.688,15.7252
No,User_222,Tesla Model 3,Night,75,30.9008,0.670877,40.5644,14.4373,13.0139,33.5059
No,User_223,Chevy Bolt,Afternoon,46.5379,35.3484,3.13355,5.49714,12.6535,219.153,-8.72042
No,User_224,BMW i3,Afternoon,75,11.9259,2.74903,49.4227,25.9858,192.175,-3.35737
No,User_225,Tesla Model 3,Afternoon,62,55.4641,0.584465,20.988,16.6516,90.3968,15.9227
No,User_226,Tesla Model 3,Morning,50,44.1595,3.97685,23.7524,5.5502,33.5649,-5.33277
No,User_227,Nissan Leaf,Evening,100,65.2448,0.878652,46.9698,24.7529,95.6566,20.4271
No,User_228,Nissan Leaf,Morning,50,20.4648,3.64701,18.5995,7.67418,62.93,25.4281
No,User_229,Chevy Bolt,Afternoon,27.0333,49.1867,1.91256,32.3631,9.11961,120.402,2.80394
No,User_230,BMW i3,Evening,85,32.6427,0.560641,29.1991,5.78151,183.594,29.9393
No,User_231,Nissan Leaf,Night,85,66.6237,1.22914,45.5057,22.3379,286.072,-0.976247
No,User_232,Tesla Model 3,Morning,62,33.3655,0.611262,10.1969,35.956,244.053,26.8739
No,User_233,BMW i3,Afternoon,120.511,68.8253,2.46534,16.9356,33.8615,139.035,-1.96612
No,User_234,BMW i3,Afternoon,75,65.8917,0.738931,36.4931,9.14472,77.2693,11.7292
No,User_235,Tesla Model 3,Evening,62,42.6429,2.16849,41.5267,9.08471,139.222,1.565
No,User_236,Nissan Leaf,Morning,75,12.6698,2.81682,18.7183,32.1786,296.132,29.403
No,User_237,Tesla Model 3,Night,50,25.3541,0.613314,16.8806,19.3332,73.3822,2.97617
No,User_238,BMW i3,Night,100,37.9281,1.71324,25.963,36.2055,69.6411,-1.32688
No,User_239,Hyundai Kona,Evening,75,42.6429,0.688517,30.0044,23.4902,111.19,-8.6092
No,User_240,Hyundai Kona,Evening,50,31.8772,1.38394,23.4664,38.2894,249.764,38.1887
No,User_241,Chevy Bolt,Night,50,29.5828,3.20387,37.1838,16.6731,248.924,5.79857
No,User_242,Tesla Model 3,Evening,100,37.5098,3.51806,6.34178,23.2303,203.729,30.1288
No,User_243,Tesla Model 3,Evening,62,7.84972,2.55626,25.963,25.9504,26.3628,39.5691
No,User_244,Chevy Bolt,Morning,100,66.5208,0.206631,15.0995,34.7401,123.57,-6.75669
No,User_245,Chevy Bolt,Evening,100,42.6429,2.00936,74.6128,7.89293,206.715,27.4087
No,User_246,Chevy Bolt,Afternoon,62,29.8406,3.47386,14.0391,9.06223,195.474,19.1767
No,User_247,BMW i3,Afternoon,100,59.7812,3.83954,28.4618,13.5241,134.385,18.1296
No,User_248,Tesla Model 3,Afternoon,94.824,76.3582,2.97484,10.8947,68.9317,213.491,36.4675
No,User_249,BMW i3,Evening,100,60.4101,1.70897,48.7887,17.8985,99.5426,12.8705
No,User_250,Chevy Bolt,Night,85,44.7855,3.43065,35.3904,36.909,283.903,10.649
No,User_251,Tesla Model 3,Afternoon,75,22.2277,3.38208,25.963,27.5237,227.542,0.51052
No,User_252,BMW i3,Morning,100,22.2757,2.31288,18.209,24.4137,114.541,21.7499
No,User_253,BMW i3,Evening,85,29.014,2.52543,43.0099,12.292,199.638,1.08118
No,User_254,Chevy Bolt,Night,75,61.1175,2.71076,28.4016,20.0409,172.667,-3.13351
No,User_255,Tesla Model 3,Night,62,65.5509,3.57563,12.1634,24.2093,153.221,28.6947
No,User_256,Chevy Bolt,Evening,50,76.5798,0.624618,10.5665,36.694,33.6275,16.4676
No,User_257,Tesla Model 3,Evening,50,37.0936,0.853087,23.6192,19.5424,180.148,14.727
No,User_258,Hyundai Kona,Morning,100,56.358,3.21093,25.963,35.0708,233.914,5.85553
No,User_259,Nissan Leaf,Evening,85,6.35452,1.04685,4.10993,10.0337,40.6632,-0.230727
No,User_260,Nissan Leaf,Evening,62,60.5227,3.07853,14.1634,22.6704,219.115,-8.82331
No,User_261,Nissan Leaf,Night,50,49.6215,3.73149,28.5496,12.8819,260.685,11.2575
No,User_262,Chevy Bolt,Afternoon,100,54.1261,1.25331,13.6191,31.9361,175.206,-9.82464
No,User_263,Hyundai Kona,Afternoon,45.3802,13.089,3.23929,36.4758,36.6124,233.572,-1.3964
No,User_264,Tesla Model 3,Night,75,7.42424,1.91062,15.101,36.5443,153.597,22.1849
No,User_265,BMW i3,Evening,143.475,47.0863,3.31083,5.13081,31.2202,35.0836,13.4102
No,User_266,Tesla Model 3,Morning,100,42.6429,0.504788,25.963,23.5995,269.497,-5.88792
No,User_267,BMW i3,Afternoon,85,56.8214,0.865213,21.2697,15.8328,263.745,39.8024
No,User_268,Tesla Model 3,Evening,75,36.5319,2.65165,5.09284,32.24,97.7258,11.3016
No,User_269,Hyundai Kona,Afternoon,100,58.1511,1.98625,34.9651,25.3916,236.833,35.5893
No,User_270,BMW i3,Night,10.1893,63.5943,3.33356,28.5963,5.0864,149.957,2.79084
No,User_271,Chevy Bolt,Afternoon,85,55.415,2.31493,30.6439,36.4253,176.933,-8.42803
No,User_272,Tesla Model 3,Night,50,12.9199,3.38083,9.13705,11.4965,188.602,-2.41192
No,User_273,Tesla Model 3,Night,75,70.2447,3.37274,31.8818,18.5278,34.5224,7.13649
No,User_274,BMW i3,Night,50,47.9041,1.16124,22.0619,35.0418,32.2376,-2.9962
No,User_275,Chevy Bolt,Morning,62,59.1483,3.8789,14.8802,32.0748,153.597,-1.86407
No,User_276,Chevy Bolt,Evening,75,6.4627,3.46526,5.33524,37.4591,153.597,38.4118
